Elapsed_Time_s,Impedance_Ohm
2026-06-11 12:33:27,253.4577
2026-06-11 12:33:28,252.1896
2026-06-11 12:33:29,250.5571
2026-06-11 12:33:30,248.5594
2026-06-11 12:33:31,246.1368
2026-06-11 12:33:32,243.2447
2026-06-11 12:33:33,239.8025
2026-06-11 12:33:34,236.0185
2026-06-11 12:33:35,231.7961
2026-06-11 12:33:36,227.2093
2026-06-11 12:33:37,222.227
2026-06-11 12:33:38,216.9833
2026-06-11 12:33:39,211.5516
2026-06-11 12:33:40,206.0444
2026-06-11 12:33:42,200.5257
2026-06-11 12:33:43,194.9455
2026-06-11 12:33:44,189.4701
2026-06-11 12:33:45,184.1852
2026-06-11 12:33:46,179.1083
2026-06-11 12:33:47,174.2904
2026-06-11 12:33:48,169.7687
2026-06-11 12:33:49,165.6676
2026-06-11 12:33:50,161.9842
2026-06-11 12:33:51,158.618
2026-06-11 12:33:52,155.6768
2026-06-11 12:33:53,152.9953
2026-06-11 12:33:54,150.5124
2026-06-11 12:33:55,148.2821
2026-06-11 12:33:56,146.2066
2026-06-11 12:33:57,144.3994
2026-06-11 12:33:58,142.814
2026-06-11 12:33:59,141.4411
2026-06-11 12:34:00,140.1644
2026-06-11 12:34:01,139.094
2026-06-11 12:34:02,138.1235
2026-06-11 12:34:03,137.3002
2026-06-11 12:34:04,136.5532
2026-06-11 12:34:05,135.9394
2026-06-11 12:34:06,135.2911
2026-06-11 12:34:07,134.781
2026-06-11 12:34:08,134.3198
2026-06-11 12:34:09,134.0033
2026-06-11 12:34:10,133.7084
2026-06-11 12:34:11,133.4064
2026-06-11 12:34:12,133.1253
2026-06-11 12:34:13,132.7822
2026-06-11 12:34:14,132.4534
2026-06-11 12:34:15,132.2168
2026-06-11 12:34:16,132.0795
2026-06-11 12:34:17,132.0081
2026-06-11 12:34:18,131.9499
2026-06-11 12:34:19,131.8996
2026-06-11 12:34:20,131.9029
2026-06-11 12:34:21,131.979
2026-06-11 12:34:22,132.0395
2026-06-11 12:34:23,132.1053
2026-06-11 12:34:24,132.1416
2026-06-11 12:34:25,132.2211
2026-06-11 12:34:26,132.2772
2026-06-11 12:34:27,132.3784
2026-06-11 12:34:28,132.4517
2026-06-11 12:34:30,132.4655
2026-06-11 12:34:31,132.4399
2026-06-11 12:34:32,132.4255
2026-06-11 12:34:33,132.3405
2026-06-11 12:34:34,132.2429
2026-06-11 12:34:35,132.141
2026-06-11 12:34:36,132.0366
2026-06-11 12:34:37,131.9402
2026-06-11 12:34:38,131.9396
2026-06-11 12:34:39,131.9799
2026-06-11 12:34:40,131.9767
2026-06-11 12:34:41,132.0059
2026-06-11 12:34:42,132.014
2026-06-11 12:34:43,132.0917
2026-06-11 12:34:44,132.2104
2026-06-11 12:34:45,132.2554
2026-06-11 12:34:46,132.3162
2026-06-11 12:34:47,132.249
2026-06-11 12:34:48,132.1503
2026-06-11 12:34:49,132.2022
2026-06-11 12:34:50,132.2489
